freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.477e+01,1.399e+02,5.288e+02,7.435e+02
1.6,3.610e+02,5.046e+02,4.312e+02,1.297e+03
3.1,3.856e+02,4.940e+02,2.028e+02,1.082e+03
4.7,3.911e+02,5.118e+02,5.439e+02,1.447e+03
6.2,4.269e+02,5.978e+02,1.363e+03,2.387e+03
7.8,3.868e+02,6.322e+02,1.922e+03,2.941e+03
9.3,3.672e+02,6.380e+02,2.882e+03,3.887e+03
10.9,3.930e+02,6.615e+02,3.578e+03,4.632e+03
12.4,4.206e+02,8.207e+02,4.375e+03,5.616e+03
14.0,4.587e+02,9.544e+02,5.515e+03,6.929e+03
15.5,3.774e+02,9.288e+02,7.184e+03,8.490e+03
17.1,4.041e+02,1.064e+03,9.088e+03,1.056e+04
18.6,4.320e+02,1.198e+03,1.154e+04,1.317e+04
20.2,4.171e+02,1.287e+03,1.470e+04,1.640e+04
21.7,4.356e+02,1.422e+03,1.778e+04,1.964e+04
23.3,4.646e+02,1.600e+03,2.192e+04,2.398e+04
24.8,4.118e+02,1.775e+03,2.677e+04,2.895e+04
26.4,3.816e+02,2.095e+03,3.169e+04,3.417e+04
27.9,3.907e+02,2.258e+03,3.448e+04,3.713e+04
29.5,4.645e+02,2.343e+03,3.339e+04,3.620e+04
31.0,4.976e+02,2.199e+03,3.313e+04,3.583e+04
32.6,4.897e+02,2.206e+03,3.633e+04,3.903e+04
34.1,4.375e+02,2.320e+03,4.282e+04,4.558e+04
35.7,4.192e+02,2.478e+03,4.993e+04,5.282e+04
37.3,3.531e+02,2.607e+03,5.691e+04,5.987e+04
38.8,3.407e+02,2.806e+03,6.575e+04,6.889e+04
40.4,3.460e+02,2.778e+03,7.807e+04,8.119e+04
41.9,3.649e+02,3.005e+03,9.708e+04,1.004e+05
43.5,4.506e+02,3.767e+03,1.195e+05,1.237e+05
45.0,4.429e+02,4.656e+03,1.515e+05,1.566e+05
46.6,4.124e+02,5.918e+03,2.009e+05,2.073e+05
48.1,4.185e+02,6.324e+03,2.252e+05,2.319e+05
49.7,4.780e+02,4.833e+03,2.091e+05,2.144e+05
51.2,4.837e+02,3.340e+03,2.217e+05,2.255e+05
52.8,4.104e+02,2.806e+03,2.981e+05,3.013e+05
54.3,4.141e+02,2.368e+03,4.349e+05,4.377e+05
55.9,5.434e+02,1.798e+03,6.597e+05,6.620e+05
57.4,7.113e+02,1.883e+03,1.084e+06,1.087e+06
59.0,8.842e+02,1.070e+04,2.140e+06,2.152e+06
60.5,8.930e+02,3.379e+04,2.830e+06,2.865e+06
62.1,6.615e+02,4.946e+04,2.165e+06,2.216e+06
63.6,5.817e+02,5.451e+04,1.299e+06,1.354e+06
65.2,6.092e+02,5.503e+04,7.266e+05,7.822e+05
66.7,6.371e+02,5.253e+04,4.021e+05,4.553e+05
68.3,4.554e+02,4.997e+04,2.204e+05,2.708e+05
69.9,4.644e+02,5.793e+04,1.280e+05,1.864e+05
71.4,5.311e+02,7.345e+04,7.579e+04,1.498e+05
73.0,6.066e+02,9.709e+04,4.611e+04,1.438e+05
74.5,8.506e+02,1.388e+05,4.242e+04,1.821e+05
76.1,1.217e+03,2.196e+05,9.379e+04,3.146e+05
77.6,2.040e+03,3.847e+05,2.737e+05,6.605e+05
79.2,2.953e+03,5.186e+05,5.067e+05,1.028e+06
80.7,3.594e+03,4.759e+05,5.990e+05,1.078e+06
82.3,3.355e+03,3.382e+05,5.213e+05,8.628e+05
83.8,2.845e+03,2.544e+05,4.543e+05,7.116e+05
85.4,2.955e+03,2.367e+05,4.644e+05,7.040e+05
86.9,3.128e+03,2.225e+05,4.790e+05,7.046e+05
88.5,2.739e+03,1.930e+05,4.573e+05,6.530e+05
90.0,2.842e+03,1.583e+05,4.194e+05,5.805e+05
91.6,2.771e+03,1.312e+05,3.876e+05,5.215e+05
93.1,2.607e+03,1.068e+05,3.522e+05,4.616e+05
94.7,2.611e+03,8.897e+04,3.235e+05,4.151e+05
96.2,2.468e+03,7.575e+04,3.013e+05,3.795e+05
97.8,2.344e+03,6.582e+04,2.778e+05,3.460e+05
99.3,2.359e+03,5.733e+04,2.554e+05,3.151e+05
100.9,2.446e+03,5.017e+04,2.357e+05,2.883e+05
102.4,2.577e+03,4.439e+04,2.198e+05,2.668e+05
104.0,2.523e+03,3.543e+04,1.869e+05,2.249e+05
105.6,2.728e+03,2.677e+04,1.571e+05,1.866e+05
107.1,2.945e+03,2.474e+04,1.626e+05,1.903e+05
